doi,edge_relation_id,effect_value_reported,se_reported,effect_type_reported,effect_size_type,N_effect,study_design,cancer_type,treatment_phase,upstream_instrument_id,notes,ci_low_reported,ci_high_reported,p_value,n_treatment,n_control,sd_x,sd_y,cancer_validation_status,rob_overall,pub_year,covariates_adjusted,endpoint_vs_change,comparison_arm_label,se_derivation_level,shared_control_flag,extraction_snippet
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,-15.78,3.4846938775510203,mean_diff,BETWEEN_GROUP,77,cohort,breast,active_treatment,INST_FACTCOG_PCI,"Sun 2025 Table 2 breast: FACT-Cog PCI, pre-to-post chemo vs control. Adjusted β=−15.78",-22.61,-8.95,0.001,41,36,,,validated,low,2025,"age,sex,education",change,chemo vs non-cancer control,from_ci,false,"Adjusted β = −15.78 (95% CI −22.61 to −8.95), P < .001"
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,-9.76,3.4056122448979593,mean_diff,BETWEEN_GROUP,77,cohort,breast,early_recovery,INST_FACTCOG_PCI,"Sun 2025 Table 2 breast: FACT-Cog PCI, pre-to-6mo FU vs control. Adjusted β=−9.76",-16.43,-3.08,,41,36,,,validated,low,2025,"age,sex,education",change,chemo vs non-cancer control,from_ci,false,Adjusted β = −9.76 (95% CI −16.43 to −3.08)
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,-6.44,1.7244897959183674,mean_diff,BETWEEN_GROUP,147,cohort,hematologic,active_treatment,INST_FACTCOG_PCI,"Sun 2025 Table 3 lymphoma: FACT-Cog PCI, pre-to-post chemo vs control. Adjusted β=−6.44",-9.82,-3.06,0.001,73,75,,,validated,low,2025,"age,sex,education",change,chemo vs non-cancer control,from_ci,false,"Adjusted β = −6.44 (95% CI −9.82 to −3.06), P < .001"
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,-9.09,2.3163265306122454,mean_diff,BETWEEN_GROUP,147,cohort,hematologic,early_recovery,INST_FACTCOG_PCI,"Sun 2025 Table 3 lymphoma: FACT-Cog PCI, pre-to-1yr FU vs control. Adjusted β=−9.09",-13.63,-4.55,0.001,73,75,,,validated,low,2025,"age,sex,education",change,chemo vs non-cancer control,from_ci,false,Adjusted β = −9.09 (95% CI −13.63 to −4.55)
10.1093/jncics/pkaf105,ER_OIC_COGCOMPLAINTS,-0.77,0.2729591836734694,mean_diff,BETWEEN_GROUP,147,cohort,hematologic,active_treatment,INST_FACTCOG_PCI,"Sun 2025 Table 3 lymphoma: FACT-Cog Comments from Others, pre-to-post chemo vs control",-1.3,-0.23,0.01,73,75,,,validated,low,2025,"age,sex,education",change,chemo vs non-cancer control,from_ci,false,"Adjusted β = −0.77 (95% CI −1.30 to −0.23), P = .01"
