doi,edge_relation_id,timepoint_weeks,effect,se,is_recovery,N,provenance_ref
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,0,-1.65,3.028061224489796,0,77,Table 2 baseline
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,16,-15.78,3.4846938775510203,0,77,Table 2 post-chemo
10.1093/jncics/pkaf105,ER_DEPRESSION_COGCOMPLAINTS,40,-9.76,3.4056122448979593,1,77,Table 2 6mo FU
10.1093/jncics/pkaf105,ER_OIC_COGCOMPLAINTS,0,-2.29,2.413265306122449,0,147,Table 3 baseline lymphoma
10.1093/jncics/pkaf105,ER_OIC_COGCOMPLAINTS,16,-6.44,1.7244897959183674,0,147,Table 3 post-chemo lymphoma
10.1093/jncics/pkaf105,ER_OIC_COGCOMPLAINTS,40,-9.09,2.3163265306122454,1,147,Table 3 6mo FU lymphoma
