edge_id,pathway,node_x,node_y,k,n_studies,total_n,designs,has_rct,avg_beta,i_squared,pooled_beta,pooled_se,gap_tier,cancers,phases
ER_OIC_EXECPLAN,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_COG_EXEC_PLANNING,2,1,150,cohort,False,-0.6235,0.0,-0.623218,0.565695,LOW_K,breast,during_treatment
ER_OIC_FATIGUE,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_SYM_FATIGUE,2,1,124,cohort,False,0.621,0.0,0.620495,0.737386,LOW_K,nsclc,active_treatment
ER_OIC_MULTITASK,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_COG_MULTITASKING,3,1,198,cohort,False,-0.1427,0.0,-0.145747,0.643073,ADEQUATE,mixed_solid,during_treatment
ER_OIC_PAIN,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_SYM_PAIN,0,0,,,False,,0.0,,,MISSING,,
ER_OIC_PROCSPEED,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_COG_PROC_SPEED,9,6,3230,cohort,False,-0.433,0.0,-0.381222,0.227231,ADEQUATE,"breast,hodgkin_lymphoma,mixed_solid,colorectal","survivorship,long_term_survivorship,active_treatment,during_treatment"
ER_OIC_VERBAL,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_COG_VERBAL_FLUENCY,1,1,75,cohort,False,-0.517,0.0,-0.517,0.796166,SINGLE,breast,during_treatment
ER_OIC_WORKMEM,PW_M01_NEUROINFLAMMATION,NODE_PATH_OIC,NODE_COG_WORK_MEM,1,1,75,cohort,False,-0.723,0.0,-0.723,0.80195,SINGLE,breast,during_treatment
ER_P16_SENESCENCE,PW_M09_SENESCENCE,NODE_BIO_P16,NODE_PATH_SENESCENCE,0,0,,,False,,0.0,,,MISSING,,
ER_PAIN_FATIGUE,PW_C2_FATIGUE,NODE_SYM_PAIN,NODE_SYM_FATIGUE,0,0,,,False,,0.0,,,MISSING,,
ER_PROCSPD_CRCI,N/A_COMPOSITE_AGGREGATION,NODE_COG_PROC_SPEED,NODE_COMP_CRCI,0,0,,,False,,0.0,,,MISSING,,
ER_RADIATION_BBB,PW_M14_BBB,NODE_EXO_RADIATION,NODE_PATH_BBB,0,0,,,False,,0.0,,,MISSING,,
ER_RADIATION_GH2AX,PW_M07_DNA_DAMAGE,NODE_EXO_RADIATION,NODE_BIO_GH2AX,0,0,,,False,,0.0,,,MISSING,,
ER_RADIATION_NFL,PW_M14_BBB,NODE_EXO_RADIATION,NODE_BIO_NFL,0,0,,,False,,0.0,,,MISSING,,
ER_SENESCENCE_OIC,PW_M09_SENESCENCE,NODE_PATH_SENESCENCE,NODE_PATH_OIC,0,0,,,False,,0.0,,,MISSING,,
ER_SEX_HPA,PW_M03_HPA_DYSREGULATION,NODE_EXO_SEX,NODE_PATH_HPA,0,0,,,False,,0.0,,,MISSING,,
ER_SHANNON_GUTBRAIN,PW_M08_GUT_BRAIN,NODE_BIO_SHANNON,NODE_PATH_GUT_BRAIN,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_ATTN,PW_C1_SLEEP,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_ATTN_SUSTAINED,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_CORTISOL,PW_C1_SLEEP,NODE_BEH_SLEEP_QUALITY,NODE_BIO_CORTISOL,0,0,,,False,,0.0,,,MISSING,,
